"","topic","value","filename"
"156","0",0.000378334965505465,"MB_1896_Sept"
"157","0",0.00150182397101362,"MB_1897_Aug"
"158","0",0.0107587955569604,"MB_1897_Dec"
"159","0",0.000726600218634041,"MB_1897_Feb"
"160","0",0.031238181932331,"MB_1897_Jan"
"161","0",0.000964276346183436,"MB_1897_July"
"162","0",0.000963216665894916,"MB_1897_June"
"163","0",0.00883399644678406,"MB_1897_March"
"164","0",0.00810432095041393,"MB_1897_May"
"165","0",0.00759180491274372,"MB_1897_Nov"
"166","0",0.00805798083429711,"MB_1897_Oct"
"167","0",0.00269345812171028,"MB_1897_Sept"
"168","0",0.0272315776302178,"MB_1898_Apr"
"169","0",0.0178626549277793,"MB_1898_Aug"
"170","0",0.0370211412238955,"MB_1898_Dec"
"171","0",0.0250802143062761,"MB_1898_Feb"
"172","0",0.0233503592340446,"MB_1898_Jan"
"173","0",0.026669351803687,"MB_1898_July"
"174","0",0.0225463317634878,"MB_1898_June"
"175","0",0.0315176143132305,"MB_1898_March"
"176","0",0.0413985492275545,"MB_1898_May"
"177","0",0.00802648516650337,"MB_1898_Nov"
"178","0",0.00905035925387633,"MB_1898_Oct"
"179","0",0.0177925141535489,"MB_1898_Sept"
"180","0",0.00479161516116888,"MB_1899_April"
"181","0",0.0379931880142254,"MB_1899_Dec"
"182","0",0.0327672607116729,"MB_1899_Feb"
"183","0",0.00999885317417069,"MB_1899_Jan"
"184","0",0.0156663094719432,"MB_1899_July"
"185","0",0.0171754441093127,"MB_1899_June"
"186","0",0.0275580292603799,"MB_1899_March"
"187","0",0.00280005084209371,"MB_1899_May"
"188","0",0.0559073549320049,"MB_1899_Nov"
"189","0",0.0364148258440991,"MB_1899_Oct"
"190","0",0.0130099993098004,"MB_1899_Sept"
"191","0",0.0513242825767587,"MB_1900_April"
"192","0",0.0217207320218558,"MB_1900_Aug"
"193","0",0.0121385745336764,"MB_1900_Dec"
"194","0",0.0112278686979316,"MB_1900_Feb"
"195","0",0.0212278325742082,"MB_1900_Jan"
"196","0",0.0196244914940352,"MB_1900_July"
"197","0",0.0328544311320902,"MB_1900_June"
"198","0",0.0267795220722569,"MB_1900_March"
"199","0",0.0306573075349581,"MB_1900_May"
"200","0",0.00845368322083099,"MB_1900_Nov"
"201","0",0.0203097178023349,"MB_1900_Oct"
"202","0",0.0210703639404173,"MB_1900_Sept"
"203","0",0.0487356548200903,"MB_1901_April"
"204","0",0.0466868132265024,"MB_1901_Aug"
"205","0",0.0448494528426694,"MB_1901_Dec"
"206","0",0.0163166893758878,"MB_1901_Feb"
"207","0",0.0152386122117227,"MB_1901_Jan"
"208","0",0.0241606696070047,"MB_1901_July"
"209","0",0.00830701203796129,"MB_1901_June"
"210","0",0.0255970554382392,"MB_1901_March"
"211","0",0.0179792088591667,"MB_1901_May"
"212","0",0.0179538327717317,"MB_1901_Nov"
"213","0",0.00554598921116325,"MB_1901_Oct"
"214","0",0.0120059835966072,"MB_1901_Sept"
"215","0",0.000473218722574586,"MB_1902_April"
"216","0",0.0364297053341127,"MB_1902_August"
"217","0",0.00581135162598331,"MB_1902_dec"
"218","0",0.0346012825234294,"MB_1902_Feb"
"219","0",0.00713179760904626,"MB_1902_Jan"
"220","0",0.0318710690809386,"MB_1902_July"
"221","0",0.0133691753024302,"MB_1902_June"
"222","0",0.0291347441634807,"MB_1902_March"
"223","0",0.0178808576737881,"MB_1902_May"
"224","0",0.0114575816056509,"MB_1902_Nov"
"225","0",0.0243863940859791,"MB_1902_Oct"
"226","0",0.00356589412272467,"MB_1902_Sept"
"227","0",0.0605064000065662,"MB_1903_April"
"228","0",0.0246249458919424,"MB_1903_August"
"229","0",0.0120826975424666,"MB_1903_Dec"
"230","0",0.00706139606847646,"MB_1903_Feb"
"231","0",0.0109956866046191,"MB_1903_Jan"
"232","0",0.0639254315288081,"MB_1903_July"
"233","0",0.0375966383157953,"MB_1903_March"
"234","0",0.03501862642551,"MB_1903_May"
"235","0",0.0412998895435063,"MB_1903_Nov"
"236","0",0.00952948027416309,"MB_1903_Oct"
"237","0",0.0843288435001327,"MB_1903_Sept"
"238","0",0.0710477207434597,"MB_1904_April"
"239","0",0.0664949704175254,"MB_1904_Aug"
"240","0",0.0189450972321959,"MB_1904_Dec"
"241","0",0.00848181409812718,"MB_1904_Feb"
"242","0",0.0796884757005143,"MB_1904_Jan"
"243","0",0.0129349611568426,"MB_1904_July"
"244","0",0.0310321511565726,"MB_1904_June"
"245","0",0.0563258449837706,"MB_1904_March"
"246","0",0.0233067839542676,"MB_1904_May"
"247","0",0.00927953831927539,"MB_1904_Nov"
"248","0",0.00992227249975805,"MB_1904_Oct"
"249","0",0.0280502502876489,"MB_1904_Sept"
"250","0",0.0500942762485065,"MB_1905_April"
"251","0",0.0115664982495157,"MB_1905_Aug"
"252","0",0.032099467914727,"MB_1905_Dec"
